Robot Drawing Waypoints:
----------------------

Point 464: X=301, Y=171, Z=0, Pen=Down
Point 465: X=301, Y=171, Z=10, Pen=Up
Point 466: X=200, Y=170, Z=10, Pen=Up
Point 467: X=200, Y=170, Z=0, Pen=Down
Point 468: X=199, Y=171, Z=0, Pen=Down
Point 469: X=193, Y=171, Z=0, Pen=Down
Point 470: X=192, Y=172, Z=0, Pen=Down
Point 471: X=190, Y=172, Z=0, Pen=Down
Point 472: X=189, Y=173, Z=0, Pen=Down
Point 473: X=187, Y=173, Z=0, Pen=Down
Point 474: X=185, Y=175, Z=0, Pen=Down
Point 475: X=184, Y=175, Z=0, Pen=Down
Point 476: X=183, Y=176, Z=0, Pen=Down
Point 477: X=182, Y=176, Z=0, Pen=Down
Point 478: X=176, Y=182, Z=0, Pen=Down
Point 479: X=176, Y=183, Z=0, Pen=Down
Point 480: X=175, Y=184, Z=0, Pen=Down
Point 481: X=175, Y=185, Z=0, Pen=Down
Point 482: X=173, Y=187, Z=0, Pen=Down
Point 483: X=173, Y=189, Z=0, Pen=Down
Point 484: X=172, Y=190, Z=0, Pen=Down
Point 485: X=172, Y=192, Z=0, Pen=Down
Point 486: X=171, Y=193, Z=0, Pen=Down
Point 487: X=171, Y=199, Z=0, Pen=Down
Point 488: X=170, Y=200, Z=0, Pen=Down
Point 489: X=171, Y=201, Z=0, Pen=Down
Point 490: X=171, Y=207, Z=0, Pen=Down
Point 491: X=172, Y=208, Z=0, Pen=Down
Point 492: X=172, Y=210, Z=0, Pen=Down
Point 493: X=173, Y=211, Z=0, Pen=Down
Point 494: X=173, Y=213, Z=0, Pen=Down
Point 495: X=175, Y=215, Z=0, Pen=Down
Point 496: X=175, Y=216, Z=0, Pen=Down
Point 497: X=176, Y=217, Z=0, Pen=Down
Point 498: X=176, Y=218, Z=0, Pen=Down
Point 499: X=182, Y=224, Z=0, Pen=Down
Point 500: X=183, Y=224, Z=0, Pen=Down
Point 501: X=184, Y=225, Z=0, Pen=Down
Point 502: X=185, Y=225, Z=0, Pen=Down
Point 503: X=187, Y=227, Z=0, Pen=Down
Point 504: X=189, Y=227, Z=0, Pen=Down
Point 505: X=190, Y=228, Z=0, Pen=Down
Point 506: X=192, Y=228, Z=0, Pen=Down
Point 507: X=193, Y=229, Z=0, Pen=Down
Point 508: X=199, Y=229, Z=0, Pen=Down
Point 509: X=200, Y=230, Z=0, Pen=Down
Point 510: X=201, Y=229, Z=0, Pen=Down
Point 511: X=207, Y=229, Z=0, Pen=Down
Point 512: X=208, Y=228, Z=0, Pen=Down
Point 513: X=210, Y=228, Z=0, Pen=Down
Point 514: X=211, Y=227, Z=0, Pen=Down
Point 515: X=213, Y=227, Z=0, Pen=Down
Point 516: X=215, Y=225, Z=0, Pen=Down
Point 517: X=216, Y=225, Z=0, Pen=Down
Point 518: X=217, Y=224, Z=0, Pen=Down
Point 519: X=218, Y=224, Z=0, Pen=Down
Point 520: X=224, Y=218, Z=0, Pen=Down
Point 521: X=224, Y=217, Z=0, Pen=Down
Point 522: X=225, Y=216, Z=0, Pen=Down
Point 523: X=225, Y=215, Z=0, Pen=Down
Point 524: X=227, Y=213, Z=0, Pen=Down
Point 525: X=227, Y=211, Z=0, Pen=Down
Point 526: X=228, Y=210, Z=0, Pen=Down
Point 527: X=228, Y=208, Z=0, Pen=Down
Point 528: X=229, Y=207, Z=0, Pen=Down
Point 529: X=229, Y=201, Z=0, Pen=Down
Point 530: X=230, Y=200, Z=0, Pen=Down
Point 531: X=229, Y=199, Z=0, Pen=Down
Point 532: X=229, Y=193, Z=0, Pen=Down
Point 533: X=228, Y=192, Z=0, Pen=Down
